"ACCESS POINT","STATUS","RADIO MAC ADDRESS","BAND","BANDWIDTH","CHANNEL","UTILIZATION (%)","POWER (dBm)","NOISE FLOOR (dBm)"
"Campus Central - Bloque de Aulas - Aula 204","Down","68:28:cf:6f:9c:50","5 GHz","-","-","-","-","-"
"Campus Central - Bloque de Aulas - AP1 - SwArP11","Up","68:28:cf:6f:9e:10","5 GHz","80 MHz","60","34","24","-94"
"Campus Central - Bloque de Aulas - AP1 - SwArP11","Up","68:28:cf:6f:9e:00","2.4 GHz","20 MHz","11","40","9","-97"
"Campus Central - Bloque de Aulas - Aula 303","Up","68:28:cf:71:41:40","2.4 GHz","20 MHz","11","26","9","-98"
"Campus Central - Bloque de Aulas - Aula 303","Up","68:28:cf:71:41:50","5 GHz","80 MHz","36","39","24","-97"
"Campus Central - Bloque de Aulas - Aula 302","Down","68:28:cf:70:07:d0","5 GHz","-","-","-","-","-"
"Campus Central - Bloque de Aulas - Aula 302","Down","68:28:cf:70:07:c0","2.4 GHz","-","-","-","-","-"
"Santa Cruz - Bloque1_Piso2 - AP3 - SwArP47","Down","68:28:cf:70:1a:f0","5 GHz","-","-","-","-","-"
"Santa Cruz - Bloque1_Piso2 - AP3 - SwArP47","Down","68:28:cf:70:1a:e0","2.4 GHz","-","-","-","-","-"
"Campus Central - Bloque de Aulas - Salon Juridico","Up","68:28:cf:71:1a:50","5 GHz","80 MHz","124","37","24","-93"
"Campus Central - Bloque de Aulas - Salon Juridico","Up","68:28:cf:71:1a:40","2.4 GHz","20 MHz","6","30","9","-98"
"Santa Cruz - Bloque1_Piso2 - AP5 - SwArP39","Down","68:28:cf:6f:14:80","2.4 GHz","-","-","-","-","-"
"Santa Cruz - Bloque1_Piso2 - AP5 - SwArP39","Down","68:28:cf:6f:14:90","5 GHz","-","-","-","-","-"
"68:28:cf:cf:12:5e","Down","68:28:cf:71:25:f0","5 GHz","-","-","-","-","-"
"68:28:cf:cf:12:5e","Down","68:28:cf:71:25:e0","2.4 GHz","-","-","-","-","-"
"Santa Cruz - Bloque1_Piso1 - Docentes - AP2 - SWArP26","Up","68:28:cf:6f:eb:d0","5 GHz","80 MHz","100","45","24","-95"
"Santa Cruz - Bloque1_Piso1 - Docentes - AP2 - SWArP26","Up","68:28:cf:6f:eb:c0","2.4 GHz","20 MHz","11","60","9","-97"
"Santa Cruz - Bloque1_Piso2 - AP7 - SwArP5","Down","68:28:cf:70:26:50","5 GHz","-","-","-","-","-"
"Santa Cruz - Bloque1_Piso2 - AP7 - SwArP5","Down","68:28:cf:70:26:40","2.4 GHz","-","-","-","-","-"
"Santa Cruz - Bloque2_Piso2 - Laboratorio - Tecnicas_Basicas","Up","68:28:cf:70:f7:20","2.4 GHz","20 MHz","11","41","9","-98"
"Santa Cruz - Bloque2_Piso2 - Laboratorio - Tecnicas_Basicas","Up","68:28:cf:70:f7:30","5 GHz","80 MHz","44","18","24","-97"
"Santa Cruz - Bloque1_Piso1_Escalera - AP1 -SWArP18","Down","68:28:cf:70:64:90","5 GHz","-","-","-","-","-"
"Santa Cruz - Bloque1_Piso1_Escalera - AP1 -SWArP18","Down","68:28:cf:70:64:80","2.4 GHz","-","-","-","-","-"
"Santa Cruz - Bloque1_Piso2 - AP4 - SwArP16","Down","68:28:cf:70:86:b0","5 GHz","-","-","-","-","-"
"Santa Cruz - Bloque1_Piso2 - AP4 - SwArP16","Down","68:28:cf:70:86:a0","2.4 GHz","-","-","-","-","-"
"68:28:cf:ce:f5:44","Up","68:28:cf:6f:54:50","5 GHz","80 MHz","124","2","24","-95"
"68:28:cf:ce:f5:44","Up","68:28:cf:6f:54:40","2.4 GHz","20 MHz","11","35","9","-98"
"Campus Central - Bloque de Aulas - NAF","Up","68:28:cf:70:6d:10","5 GHz","80 MHz","52","20","24","-95"
"Campus Central - Bloque de Aulas - NAF","Up","68:28:cf:70:6d:00","2.4 GHz","20 MHz","11","25","9","-98"
"Campus Central - Bloque de Aulas - Aula 103","Up","68:28:cf:6f:51:a0","2.4 GHz","20 MHz","6","19","9","-98"
"Campus Central - Bloque de Aulas - Aula 103","Up","68:28:cf:6f:51:b0","5 GHz","80 MHz","100","18","24","-93"
"Santa Cruz - Bloque2_PisoX - Laboratorio - AP1 - SwArP33","Up","68:28:cf:72:77:40","2.4 GHz","20 MHz","6","15","9","-97"
"Santa Cruz - Bloque2_PisoX - Laboratorio - AP1 - SwArP33","Up","68:28:cf:72:77:50","5 GHz","80 MHz","116","19","24","-95"
"Santa Cruz - Bloque2_PisoX - Laboratorio - Materno_Infantil - SwArP7","Up","68:28:cf:73:6d:80","2.4 GHz","20 MHz","1","11","9","-98"
"Santa Cruz - Bloque2_PisoX - Laboratorio - Materno_Infantil - SwArP7","Up","68:28:cf:73:6d:90","5 GHz","80 MHz","153","11","24","-95"
"Santa Cruz - Bloque de Aulas - Aula 207 - SWArP22","Up","68:28:cf:72:a0:e0","2.4 GHz","20 MHz","1","50","9","-97"
"Santa Cruz - Bloque de Aulas - Aula 207 - SWArP22","Up","68:28:cf:72:a0:f0","5 GHz","80 MHz","44","15","24","-97"
"Santa Cruz - Bloque1_Piso2 - AP6 - SwArP34","Up","68:28:cf:73:a9:f0","5 GHz","80 MHz","149","4","24","-95"
"Santa Cruz - Bloque1_Piso2 - AP6 - SwArP34","Up","68:28:cf:73:a9:e0","2.4 GHz","20 MHz","6","15","9","-98"
"Santa Cruz - Bloque de Aulas - Aula 207 - SWArP22","Up","68:28:cf:71:9a:00","2.4 GHz","20 MHz","6","13","9","-98"
"Santa Cruz - Bloque de Aulas - Aula 207 - SWArP22","Up","68:28:cf:71:9a:10","5 GHz","80 MHz","149","21","24","-93"
"Campus Central - Bloque de Aulas - Salon Euskadi 2","Up","68:28:cf:71:77:d0","5 GHz","80 MHz","116","13","24","-96"
"Campus Central - Bloque de Aulas - Salon Euskadi 2","Up","68:28:cf:71:77:c0","2.4 GHz","20 MHz","11","34","9","-98"
"Campus Central - TI","Up","68:28:cf:73:1e:c0","2.4 GHz","20 MHz","6","13","9","-98"
"Campus Central - TI","Up","68:28:cf:73:1e:d0","5 GHz","80 MHz","44","26","24","-96"
"Campus Central - Administrativo - Sala Docentes","Up","68:28:cf:72:64:f0","5 GHz","80 MHz","60","30","24","-93"
"Campus Central - Administrativo - Sala Docentes","Up","68:28:cf:72:64:e0","2.4 GHz","20 MHz","1","22","9","-96"
