"ACCESS POINT","STATUS","RADIO MAC ADDRESS","BAND","BANDWIDTH","CHANNEL","UTILIZATION (%)","POWER (dBm)","NOISE FLOOR (dBm)"
"Tachina - Oficinas 112_1","Up","a8:ba:25:66:01:d0","5 GHz","80 MHz","100","11","18","-97"
"Tachina - Aula 109","Up","a8:ba:25:65:a8:40","2.4 GHz","20 MHz","1","30","9","-98"
"Tachina - Aula 109","Up","a8:ba:25:65:a8:50","5 GHz","80 MHz","116","6","18","-97"
"Tachina - Capilla","Up","a8:ba:25:66:ff:20","2.4 GHz","20 MHz","6","11","9","-98"
"Tachina - Capilla","Up","a8:ba:25:66:ff:30","5 GHz","80 MHz","36","4","18","-98"
"Tachina - Aula 108","Up","a8:ba:25:64:c9:d0","5 GHz","80 MHz","108","16","18","-97"
"Tachina - Aula 108","Up","a8:ba:25:64:c9:c0","2.4 GHz","20 MHz","11","20","9","-98"
"Tachina - Aula 104","Up","a8:ba:25:67:51:50","5 GHz","80 MHz","44","12","18","-98"
"Tachina - Aula 104","Up","a8:ba:25:67:51:40","2.4 GHz","20 MHz","6","40","9","-98"
"Tachina - Aula 204","Up","a8:ba:25:66:55:d0","5 GHz","80 MHz","44","6","18","-98"
"Tachina - Aula 204","Up","a8:ba:25:66:55:c0","2.4 GHz","20 MHz","11","19","9","-98"
"Tachina - Sala Reuniones","Up","a8:ba:25:65:04:a0","2.4 GHz","20 MHz","1","36","9","-98"
"Tachina - Sala Reuniones","Up","a8:ba:25:65:04:b0","5 GHz","80 MHz","120","5","18","-97"
"Tachina - Oficinas 101_1","Up","a8:ba:25:66:d6:20","2.4 GHz","20 MHz","11","9","9","-98"
"Tachina - Oficinas 101_1","Up","a8:ba:25:66:d6:30","5 GHz","80 MHz","112","25","18","-97"
"Tachina - Oficinas 101_1","Up","a8:ba:25:65:af:a0","2.4 GHz","20 MHz","6","21","9","-98"
"Tachina - Oficinas 101_1","Up","a8:ba:25:65:af:b0","5 GHz","80 MHz","44","6","18","-98"
"Tachina - Aula 203","Up","a8:ba:25:65:bc:40","2.4 GHz","20 MHz","6","27","9","-98"
"Tachina - Aula 203","Up","a8:ba:25:65:bc:50","5 GHz","80 MHz","52","13","18","-98"
"Tachina - Aula 004","Up","a8:ba:25:65:4f:d0","5 GHz","80 MHz","44","20","18","-97"
"Tachina - Aula 004","Up","a8:ba:25:65:4f:c0","2.4 GHz","20 MHz","6","20","9","-98"
"Tachina - Aula 202","Up","a8:ba:25:66:6c:e0","2.4 GHz","20 MHz","1","16","9","-97"
"Tachina - Aula 202","Up","a8:ba:25:66:6c:f0","5 GHz","80 MHz","36","8","18","-98"
"Tachina - Aula 211","Up","a8:ba:25:65:12:30","5 GHz","80 MHz","149","15","18","-97"
"Tachina - Aula 211","Up","a8:ba:25:65:12:20","2.4 GHz","20 MHz","11","20","9","-98"
"Tachina - Aula 205","Up","a8:ba:25:66:88:c0","2.4 GHz","20 MHz","1","16","9","-98"
"Tachina - Aula 205","Up","a8:ba:25:66:88:d0","5 GHz","80 MHz","161","15","18","-98"
"Tachina - Aula 009","Up","a8:ba:25:66:02:c0","2.4 GHz","20 MHz","6","30","9","-97"
"Tachina - Aula 009","Up","a8:ba:25:66:02:d0","5 GHz","80 MHz","149","6","18","-97"
"Tachina - Aula 208","Up","a8:ba:25:65:e0:f0","5 GHz","80 MHz","108","4","18","-97"
"Tachina - Aula 208","Up","a8:ba:25:65:e0:e0","2.4 GHz","20 MHz","6","12","9","-98"
"Tachina - Biblioteca (Temporal)","Up","a8:ba:25:65:57:c0","2.4 GHz","20 MHz","6","13","9","-98"
"Tachina - Biblioteca (Temporal)","Up","a8:ba:25:65:57:d0","5 GHz","80 MHz","128","6","18","-97"
"Tachina - Aula 105","Up","a8:ba:25:65:1d:e0","2.4 GHz","20 MHz","1","22","9","-98"
"Tachina - Aula 105","Up","a8:ba:25:65:1d:f0","5 GHz","80 MHz","128","5","18","-97"
"Tachina - Aula 007","Up","a8:ba:25:65:54:a0","2.4 GHz","20 MHz","6","10","9","-98"
"Tachina - Aula 007","Up","a8:ba:25:65:54:b0","5 GHz","80 MHz","36","13","18","-98"
"Tachina - Oficinas 001_2","Up","a8:ba:25:65:05:70","5 GHz","80 MHz","116","10","18","-97"
"Tachina - Oficinas 001_2","Up","a8:ba:25:65:05:60","2.4 GHz","20 MHz","11","17","9","-98"
