"DEVICE NAME","STATUS","CLIENTS","ALERTS","IP ADDRESS","MODEL","SERIAL","MAC","VIRTUAL CONTROLLER","GROUP","LABELS","SITE","FIRMWARE VERSION","UPTIME","LAST SEEN","PUBLIC IP","LLDP NEIGHBOR","LLDP PORT","ZONE","NOTE"
"Campus Central - Bloque de Aulas - Aula 206","Online","50","0","10.10.60.18","AP-515","PHR4KD50JL","68:28:cf:ce:f8:a2","CONTROLADO_APEXT-ESME","PUCESE-AP-EXT-ESMERALDAS","","","8.10.0.13_90226","2 Days 18 Hours 42 Minutes","-","190.15.139.161","CC-BloqueAulas-P2-DisSW48Poe","1/1/32","-",""
"Santa Cruz - Bloque1_Piso2 - AP1 - SWArP44","Offline","-","0","10.10.60.67","AP-515","PHR4KD50K9","68:28:cf:ce:f3:ee","CONTROLADO_APEXT-ESME","PUCESE-AP-EXT-ESMERALDAS","","","8.10.0.13_90226","-","2026-04-18 12:38:25 (-05)","190.15.139.161","SC-Bloque1Piso2-PRINCIPAL","1/1/44","-",""
"Campus Central - Administrativo - Direccion Academica","Online","2","0","10.10.60.58","AP-515","PHR4KD50KS","68:28:cf:cf:12:10","CONTROLADO_APEXT-ESME","PUCESE-AP-EXT-ESMERALDAS","","","8.10.0.13_90226","80 Days 23 Hours 19 Minutes","-","190.15.139.161","CC-Administrativo-DirAdmTTHH","1/1/16","-",""
"Santa Cruz - Bloque de Aulas - Aula 205 - SWArP12","Online","27","0","10.10.60.25","AP-515","PHR4KD50M5","68:28:cf:ce:fd:f0","CONTROLADO_APEXT-ESME","PUCESE-AP-EXT-ESMERALDAS","","","8.10.0.13_90226","1 Days 18 Hours 39 Minutes","-","190.15.139.161","SC-Bloque2Piso3-AulasArchivo","1/1/12","-",""
"Campus Central - Bloque de Aulas - Aula 106 - Lab Fisioterapia - SWArP11","Online","2","0","10.10.60.47","AP-515","PHR4KD50M7","68:28:cf:cf:12:26","CONTROLADO_APEXT-ESME","PUCESE-AP-EXT-ESMERALDAS","","","8.10.0.13_90226","2 Days 18 Hours 41 Minutes","-","190.15.139.161","CC-BloqueAulas-P1-DisSW48Poe","1/1/11","-",""
"Campus Central - Bloque de Aulas - AP2 - SwArP11Piso4","Online","4","0","10.10.60.21","AP-515","PHR4KD50MH","68:28:cf:ce:f3:44","CONTROLADO_APEXT-ESME","PUCESE-AP-EXT-ESMERALDAS","","","8.10.0.13_90226","2 Days 18 Hours 42 Minutes","-","190.15.139.161","CC-BloqueAulas-P4-DisSW48Poe","1/1/10","-",""
"Campus Central - Bloque de Aulas - Aula 308","Online","28","0","10.10.60.5","AP-515","PHR4KD50NS","68:28:cf:ce:f7:58","CONTROLADO_APEXT-ESME","PUCESE-AP-EXT-ESMERALDAS","","","8.10.0.13_90226","2 Days 18 Hours 42 Minutes","-","190.15.139.161","CC-BloqueAulas-P3-DisSW48Poe","1/1/27","-",""
"Campus Central - Bloque de Aulas - Aula 105 - Lab Computacion","Online","3","0","10.10.60.4","AP-515","PHR4KD50NV","68:28:cf:ce:fd:c0","CONTROLADO_APEXT-ESME","PUCESE-AP-EXT-ESMERALDAS","","","8.10.0.13_90226","2 Days 18 Hours 41 Minutes","-","190.15.139.161","CC-BloqueAulas-P1-DisSW48Poe","1/1/4","-",""
"Santa Cruz - Bloque1_Piso1_Escalera - AP2 -SWArP30","Offline","-","0","10.10.60.33","AP-515","PHR4KD50NW","68:28:cf:cf:01:6a","CONTROLADO_APEXT-ESME","PUCESE-AP-EXT-ESMERALDAS","","","8.10.0.13_90226","-","2026-04-29 20:40:03 (-05)","190.15.139.161","SC-Bloque1Piso1-Escalera","1/1/30","-",""
"Santa Cruz - Bloque de Aulas - Aula 206 - SWArP17","Online","9","0","10.10.60.31","AP-515","PHR4KD50P1","68:28:cf:ce:fd:08","CONTROLADO_APEXT-ESME","PUCESE-AP-EXT-ESMERALDAS","","","8.10.0.13_90226","1 Days 18 Hours 39 Minutes","-","190.15.139.161","SC-Bloque2Piso3-AulasArchivo","1/1/17","-",""
