"DEVICE NAME","STATUS","CLIENTS","ALERTS","IP ADDRESS","MODEL","SERIAL","MAC","VIRTUAL CONTROLLER","GROUP","LABELS","SITE","FIRMWARE VERSION","UPTIME","LAST SEEN","PUBLIC IP","LLDP NEIGHBOR","LLDP PORT","ZONE","NOTE"
"Santa Cruz - Bloque de Aulas - Aula 207 - SWArP22","Online","17","0","10.10.60.30","AP-515","PHR4LBN1T6","68:28:cf:cf:19:a0","CONTROLADO_APEXT-ESME","PUCESE-AP-EXT-ESMERALDAS","","","8.10.0.13_90226","1 Days 18 Hours 39 Minutes","-","190.15.139.161","SC-Bloque2Piso3-AulasArchivo","1/1/22","-",""
"Campus Central - Bloque de Aulas - Salon Euskadi 2","Online","0","0","10.10.60.24","AP-515","PHR4LBN1T7","68:28:cf:cf:17:7c","CONTROLADO_APEXT-ESME","PUCESE-AP-EXT-ESMERALDAS","","","8.10.0.13_90226","2 Days 18 Hours 42 Minutes","-","190.15.139.161","CC-BloqueAulas-P4-DisSW48Poe","1/1/27","-",""
"Campus Central - TI","Online","12","0","10.10.60.74","AP-515","PHR4LBN1TD","68:28:cf:cf:31:ec","CONTROLADO_APEXT-ESME","PUCESE-AP-EXT-ESMERALDAS","","","8.10.0.13_90226","26 Days 20 Hours 23 Minutes","-","190.15.139.161","PRCC-DataCenter-SWL3vsfPRINCIPAL","1/1/35","-",""
"Campus Central - Administrativo - Sala Docentes","Online","26","0","10.10.60.11","AP-515","PHR4LBN1TQ","68:28:cf:cf:26:4e","CONTROLADO_APEXT-ESME","PUCESE-AP-EXT-ESMERALDAS","","","8.10.0.13_90226","2 Days 18 Hours 42 Minutes","-","190.15.139.161","CC-Administrativo-SalaDocente","1/1/3","-",""
"AP_Externo - CC - Parqueadero","Online","47","0","10.10.60.66","AP-575","PHTSKV305G","ec:1b:5f:c2:c4:82","CONTROLADO_APEXT-ESME","PUCESE-AP-EXT-ESMERALDAS","","","8.10.0.13_90226","41 Days 22 Hours 31 Minutes","-","190.15.139.161","CC-Administrativo-SecretaGeneral","1/1/15","-",""
"AP_Externo - SC - Bloque_Aulas - Escaleras_CC","Online","17","0","10.10.61.3","AP-575","PHTSKV307X","ec:1b:5f:c2:c2:3e","CONTROLADO_APEXT-ESME","PUCESE-AP-EXT-ESMERALDAS","","","8.10.0.16_92046","1 Days 18 Hours 39 Minutes","-","190.15.139.161","SC-Bloque2Piso3-AulasArchivo","1/1/43","-",""
"AP_Externo - SC - Cyber - Parking","Online","26","0","10.10.61.2","AP-575","PHTSKV309D","ec:1b:5f:c2:c5:14","CONTROLADO_APEXT-ESME","PUCESE-AP-EXT-ESMERALDAS","","","8.10.0.16_92046","124 Days 21 Hours 48 Minutes","-","190.15.139.161","SC-Cyber-PRINCIPAL","1/1/45","-",""
"AP_Externo - CC - Bloque Docentes - Cancha","Online","16","0","10.10.61.6","AP-575","PHTSKV30B4","ec:1b:5f:c2:c2:ec","CONTROLADO_APEXT-ESME","PUCESE-AP-EXT-ESMERALDAS","","","8.10.0.16_92046","2 Days 18 Hours 42 Minutes","-","190.15.139.161","CC-BloqueAulas-P2-DisSW48Poe","1/1/40","-",""
"AP_Externo - CC - Euskadi - Escaleras_SC","Online","3","0","10.10.61.4","AP-575","PHTSKV30B9","ec:1b:5f:c2:c3:d4","CONTROLADO_APEXT-ESME","PUCESE-AP-EXT-ESMERALDAS","","","8.10.0.16_92046","2 Days 18 Hours 42 Minutes","-","190.15.139.161","CC-BloqueAulas-P4-DisSW48Poe","1/1/36","-",""
"Tachina - Patio_1","Online","9","0","172.21.234.5","AP-575","PHTSKV30BJ","ec:1b:5f:c2:c3:e6","SetMeUp-CE:6F:5A","WIFI_TACHINA","","","8.10.0.15_91324","4 Days 14 Hours 53 Minutes","-","190.15.138.173","SW48GPOETACHINA01","1/1/22","-",""
"AP_Externo - SC - Laboratorios","Online","7","0","10.10.61.5","AP-575","PHTSKV30BV","ec:1b:5f:c2:c5:12","CONTROLADO_APEXT-ESME","PUCESE-AP-EXT-ESMERALDAS","","","8.10.0.16_92046","3 Days 17 Hours 40 Minutes","-","190.15.139.161","SC-Bloque1Piso2-PRINCIPAL","1/1/31","-",""
"Tachina - Aula 206","Online","0","0","172.21.234.28","AP-515","PHTYKD55CV","a8:ba:25:ce:4f:9c","SetMeUp-CE:6F:5A","WIFI_TACHINA","","","8.10.0.15_91324","4 Days 14 Hours 54 Minutes","-","190.15.138.173","SW-TACHINA-P2-BA-1","1/1/11","-",""
"Tachina - Aula 214","Online","0","0","172.21.234.34","AP-515","PHTYKD55FQ","a8:ba:25:ce:5a:48","SetMeUp-CE:6F:5A","WIFI_TACHINA","","","8.10.0.15_91324","4 Days 14 Hours 54 Minutes","-","190.15.138.173","SW-TACHINA-P2-BB-2","1/1/15","-",""
"Tachina - Aula 213","Online","0","0","172.21.234.33","AP-515","PHTYKD55MC","a8:ba:25:ce:63:84","SetMeUp-CE:6F:5A","WIFI_TACHINA","","","8.10.0.15_91324","4 Days 14 Hours 54 Minutes","-","190.15.138.173","SW-TACHINA-P2-BB-2","1/1/14","-",""
"Tachina - Aula 011","Online","2","0","172.21.234.15","AP-515","PHTYKD55MT","a8:ba:25:ce:54:84","SetMeUp-CE:6F:5A","WIFI_TACHINA","","","8.10.0.15_91324","4 Days 14 Hours 54 Minutes","-","190.15.138.173","SW-TACHINA-PB-BB-2","1/1/17","-",""
"Tachina - Aula 210","Online","0","0","172.21.234.41","AP-515","PHTYKD55N5","a8:ba:25:ce:6e:32","SetMeUp-CE:6F:5A","WIFI_TACHINA","","","8.10.0.15_91324","4 Days 14 Hours 54 Minutes","-","190.15.138.173","SW-TACHINA-P2-BB-2","1/1/11","-",""
"Tachina - Aula 005","Online","25","0","172.21.234.37","AP-515","PHTYKD55P3","a8:ba:25:ce:55:b6","SetMeUp-CE:6F:5A","WIFI_TACHINA","","","8.10.0.15_91324","4 Days 14 Hours 54 Minutes","-","190.15.138.173","SW-TACHINA-PB-BA-1","1/1/14","-",""
"Tachina - Oficinas 012_2","Online","2","0","172.21.234.42","AP-515","PHTYKD55P4","a8:ba:25:ce:4d:08","SetMeUp-CE:6F:5A","WIFI_TACHINA","","","8.10.0.15_91324","4 Days 14 Hours 54 Minutes","-","190.15.138.173","SW-TACHINA-PB-BB-2","1/1/19","-",""
"Tachina - Aula 006","Online","3","0","172.21.234.39","AP-515","PHTYKD55P5","a8:ba:25:ce:50:70","SetMeUp-CE:6F:5A","WIFI_TACHINA","","","8.10.0.15_91324","4 Days 14 Hours 54 Minutes","-","190.15.138.173","SW-TACHINA-PB-BA-1","1/1/13","-",""
"Tachina - Oficinas 001_1","Online","0","0","172.21.234.13","AP-515","PHTYKD55P7","a8:ba:25:ce:6c:aa","SetMeUp-CE:6F:5A","WIFI_TACHINA","","","8.10.0.15_91324","4 Days 14 Hours 54 Minutes","-","190.15.138.173","SW-TACHINA-PB-BA-1","1/1/17","-",""
"Tachina - Aula 010","Online","3","0","172.21.234.16","AP-515","PHTYKD56B1","a8:ba:25:ce:6f:a6","SetMeUp-CE:6F:5A","WIFI_TACHINA","","","8.10.0.15_91324","4 Days 14 Hours 54 Minutes","-","190.15.138.173","SW-TACHINA-PB-BB-2","1/1/16","-",""
"Tachina - Aula 209","Online","0","0","172.21.234.44","AP-515","PHTYKD56B8","a8:ba:25:ce:70:62","SetMeUp-CE:6F:5A","WIFI_TACHINA","","","8.10.0.15_91324","4 Days 14 Hours 54 Minutes","-","190.15.138.173","SW-TACHINA-P2-BB-2","1/1/10","-",""
"Tachina - Aula 212","Online","1","0","172.21.234.31","AP-515","PHTYKD56C2","a8:ba:25:ce:54:74","SetMeUp-CE:6F:5A","WIFI_TACHINA","","","8.10.0.15_91324","4 Days 14 Hours 54 Minutes","-","190.15.138.173","SW-TACHINA-P2-BB-2","1/1/13","-",""
"Tachina - Aula 008","Online","1","0","172.21.234.40","AP-515","PHTYKD56CC","a8:ba:25:ce:68:34","SetMeUp-CE:6F:5A","WIFI_TACHINA","","","8.10.0.15_91324","4 Days 14 Hours 54 Minutes","-","190.15.138.173","SW-TACHINA-PB-BB-2","1/1/14","-",""
"Tachina - Oficinas 012_1","Online","8","0","172.21.234.36","AP-515","PHTYKD56CH","a8:ba:25:ce:59:22","SetMeUp-CE:6F:5A","WIFI_TACHINA","","","8.10.0.15_91324","4 Days 14 Hours 54 Minutes","-","190.15.138.173","SW-TACHINA-PB-BB-2","1/1/18","-",""
"Tachina - Aula 107","Online","0","0","172.21.234.2","AP-515","PHTYKD56CM","a8:ba:25:ce:52:60","SetMeUp-CE:6F:5A","WIFI_TACHINA","","","8.10.0.15_91324","4 Days 14 Hours 54 Minutes","-","190.15.138.173","SW-TACHINA-P1-BB-2","1/1/13","-",""
"Tachina - Aula 110","Online","0","0","172.21.234.23","AP-515","PHTYKD56G3","a8:ba:25:ce:53:68","SetMeUp-CE:6F:5A","WIFI_TACHINA","","","8.10.0.15_91324","4 Days 14 Hours 54 Minutes","-","190.15.138.173","SW-TACHINA-P1-BB-2","1/1/16","-",""
"Tachina - Aula 103","Online","0","0","172.21.234.18","AP-515","PHTYKD56GH","a8:ba:25:ce:6f:5a","SetMeUp-CE:6F:5A","WIFI_TACHINA","","","8.10.0.15_91324","4 Days 14 Hours 53 Minutes","-","190.15.138.173","SW48GPOETACHINA02","1/1/13","-",""
"Tachina - Oficinas 112_2","Online","2","0","172.21.234.3","AP-515","PHTYKD56GN","a8:ba:25:ce:59:8c","SetMeUp-CE:6F:5A","WIFI_TACHINA","","","8.10.0.15_91324","4 Days 14 Hours 54 Minutes","-","190.15.138.173","SW-TACHINA-P1-BB-2","1/1/19","-",""
"Tachina - Aula 106","Online","1","0","172.21.234.46","AP-515","PHTYKD56GQ","a8:ba:25:ce:64:04","SetMeUp-CE:6F:5A","WIFI_TACHINA","","","8.10.0.15_91324","4 Days 14 Hours 53 Minutes","-","190.15.138.173","SW48GPOETACHINA02","1/1/18","-",""
"Tachina - Aula 111","Online","0","0","172.21.234.22","AP-515","PHTYKD56GR","a8:ba:25:ce:4d:3e","SetMeUp-CE:6F:5A","WIFI_TACHINA","","","8.10.0.15_91324","4 Days 14 Hours 54 Minutes","-","190.15.138.173","SW-TACHINA-P1-BB-2","1/1/17","-",""
"Tachina - Oficinas 112_1","Online","0","0","172.21.234.10","AP-515","PHTYKD56GZ","a8:ba:25:ce:60:1c","SetMeUp-CE:6F:5A","WIFI_TACHINA","","","8.10.0.15_91324","4 Days 14 Hours 54 Minutes","-","190.15.138.173","SW-TACHINA-P1-BB-2","1/1/20","-",""
"Tachina - Aula 109","Online","0","0","172.21.234.21","AP-515","PHTYKD56H0","a8:ba:25:ce:5a:84","SetMeUp-CE:6F:5A","WIFI_TACHINA","","","8.10.0.15_91324","4 Days 14 Hours 54 Minutes","-","190.15.138.173","SW-TACHINA-P1-BB-2","1/1/15","-",""
"Tachina - Capilla","Online","0","0","172.21.234.24","AP-515","PHTYKD56H2","a8:ba:25:ce:6f:f2","SetMeUp-CE:6F:5A","WIFI_TACHINA","","","8.10.0.15_91324","4 Days 14 Hours 54 Minutes","-","190.15.138.173","SW-TACHINA-P1-BB-2","1/1/18","-",""
"Tachina - Aula 108","Online","0","0","172.21.234.4","AP-515","PHTYKD56H6","a8:ba:25:ce:4c:9c","SetMeUp-CE:6F:5A","WIFI_TACHINA","","","8.10.0.15_91324","4 Days 14 Hours 54 Minutes","-","190.15.138.173","SW-TACHINA-P1-BB-2","1/1/14","-",""
"Tachina - Aula 104","Online","2","0","172.21.234.20","AP-515","PHTYKD56H8","a8:ba:25:ce:75:14","SetMeUp-CE:6F:5A","WIFI_TACHINA","","","8.10.0.15_91324","4 Days 14 Hours 53 Minutes","-","190.15.138.173","SW48GPOETACHINA02","1/1/14","-",""
"Tachina - Aula 204","Online","0","0","172.21.234.25","AP-515","PHTYKD56HR","a8:ba:25:ce:65:5c","SetMeUp-CE:6F:5A","WIFI_TACHINA","","","8.10.0.15_91324","4 Days 14 Hours 54 Minutes","-","190.15.138.173","SW-TACHINA-P2-BA-1","1/1/13","-",""
"Tachina - Sala Reuniones","Online","1","0","172.21.234.19","AP-515","PHTYKD56J3","a8:ba:25:ce:50:4a","SetMeUp-CE:6F:5A","WIFI_TACHINA","","","8.10.0.15_91324","4 Days 14 Hours 53 Minutes","-","190.15.138.173","SW48GPOETACHINA02","1/1/12","-",""
"Tachina - Oficinas 101_1","Online","5","0","172.21.234.11","AP-515","PHTYKD56JC","a8:ba:25:ce:6d:62","SetMeUp-CE:6F:5A","WIFI_TACHINA","","","8.10.0.15_91324","4 Days 14 Hours 53 Minutes","-","190.15.138.173","SW48GPOETACHINA02","1/1/11","-",""
"Tachina - Oficinas 101_1","Online","2","0","172.21.234.12","AP-515","PHTYKD56JK","a8:ba:25:ce:5a:fa","SetMeUp-CE:6F:5A","WIFI_TACHINA","","","8.10.0.15_91324","4 Days 14 Hours 53 Minutes","-","190.15.138.173","SW48GPOETACHINA02","1/1/10","-",""
"Tachina - Aula 203","Online","1","0","172.21.234.26","AP-515","PHTYKD56JT","a8:ba:25:ce:5b:c4","SetMeUp-CE:6F:5A","WIFI_TACHINA","","","8.10.0.15_91324","4 Days 14 Hours 54 Minutes","-","190.15.138.173","SW-TACHINA-P2-BA-1","1/1/14","-",""
"Tachina - Aula 004","Online","2","0","172.21.234.38","AP-515","PHTYKD56JX","a8:ba:25:ce:54:fc","SetMeUp-CE:6F:5A","WIFI_TACHINA","","","8.10.0.15_91324","4 Days 14 Hours 54 Minutes","-","190.15.138.173","SW-TACHINA-PB-BA-1","1/1/15","-",""
"Tachina - Aula 202","Online","0","0","172.21.234.47","AP-515","PHTYKD56JY","a8:ba:25:ce:66:ce","SetMeUp-CE:6F:5A","WIFI_TACHINA","","","8.10.0.15_91324","4 Days 14 Hours 54 Minutes","-","190.15.138.173","SW-TACHINA-P2-BA-1","1/1/15","-",""
"Tachina - Aula 211","Online","0","0","172.21.234.43","AP-515","PHTYKD56K0","a8:ba:25:ce:51:22","SetMeUp-CE:6F:5A","WIFI_TACHINA","","","8.10.0.15_91324","4 Days 14 Hours 54 Minutes","-","190.15.138.173","SW-TACHINA-P2-BB-2","1/1/12","-",""
"Tachina - Aula 205","Online","0","0","172.21.234.27","AP-515","PHTYKD56K1","a8:ba:25:ce:68:8c","SetMeUp-CE:6F:5A","WIFI_TACHINA","","","8.10.0.15_91324","4 Days 14 Hours 54 Minutes","-","190.15.138.173","SW-TACHINA-P2-BA-1","1/1/12","-",""
"Tachina - Aula 009","Online","0","0","172.21.234.35","AP-515","PHTYKD56KM","a8:ba:25:ce:60:2c","SetMeUp-CE:6F:5A","WIFI_TACHINA","","","8.10.0.15_91324","4 Days 14 Hours 54 Minutes","-","190.15.138.173","SW-TACHINA-PB-BB-2","1/1/15","-",""
"Tachina - Aula 208","Online","0","0","172.21.234.32","AP-515","PHTYKD56KN","a8:ba:25:ce:5e:0e","SetMeUp-CE:6F:5A","WIFI_TACHINA","","","8.10.0.15_91324","4 Days 14 Hours 54 Minutes","-","190.15.138.173","SW-TACHINA-P2-BB-2","1/1/9","-",""
"Tachina - Biblioteca (Temporal)","Online","0","0","172.21.234.29","AP-515","PHTYKD56KZ","a8:ba:25:ce:55:7c","SetMeUp-CE:6F:5A","WIFI_TACHINA","","","8.10.0.15_91324","4 Days 14 Hours 54 Minutes","-","190.15.138.173","SW-TACHINA-P2-BA-1","1/1/16","-",""
"Tachina - Aula 105","Online","1","0","172.21.234.6","AP-515","PHTYKD56L3","a8:ba:25:ce:51:de","SetMeUp-CE:6F:5A","WIFI_TACHINA","","","8.10.0.15_91324","4 Days 14 Hours 53 Minutes","-","190.15.138.173","SW48GPOETACHINA02","1/1/17","-",""
"Tachina - Aula 007","Online","19","0","172.21.234.30","AP-515","PHTYKD56L4","a8:ba:25:ce:55:4a","SetMeUp-CE:6F:5A","WIFI_TACHINA","","","8.10.0.15_91324","4 Days 14 Hours 54 Minutes","-","190.15.138.173","SW-TACHINA-PB-BB-2","1/1/13","-",""
"Tachina - Oficinas 001_2","Online","3","0","172.21.234.14","AP-515","PHTYKD56L5","a8:ba:25:ce:50:56","SetMeUp-CE:6F:5A","WIFI_TACHINA","","","8.10.0.15_91324","4 Days 14 Hours 54 Minutes","-","190.15.138.173","SW-TACHINA-PB-BA-1","1/1/18","-",""
